time;V(supply);I(Phase_of_motor)
0.000000;0.000000;-18.838080
0.000070;7.150202;-18.698330
0.000140;14.289000;-18.550180
0.000209;21.416390;-18.393650
0.000279;28.532370;-18.228730
0.000349;35.636950;-18.055420
0.000419;42.730120;-17.873730
0.000488;49.811880;-17.683640
0.000879;88.874570;-16.473990
0.001270;126.600500;-15.016540
0.001660;162.422200;-13.333200
0.002051;195.801000;-11.449310
0.002441;226.234700;-9.393184
0.002832;253.265600;-7.195761
0.003223;276.487200;-4.890090
0.003613;295.550200;-2.510852
0.004004;310.167800;-0.093833
0.004395;320.120200;2.324612
0.004785;325.257700;4.708107
0.005176;325.503100;7.020802
0.005566;320.852500;9.227909
0.005957;311.376000;11.296230
0.006348;297.216200;13.194660
0.006738;278.585900;14.894650
0.007129;255.765500;16.370610
0.007520;229.098100;17.600360
0.007910;198.984800;18.565390
0.008301;165.878600;19.251190
0.008691;130.277500;19.647440
0.009082;92.716860;19.748190
0.009473;53.761680;19.551910
0.009863;13.997870;19.061570
0.010254;-25.976470;18.284530
0.010645;-65.560110;17.232480
0.011035;-104.157700;15.921240
0.011426;-141.188600;14.370550
0.011816;-176.095900;12.603710
0.012207;-208.354600;10.647310
0.012598;-237.479400;8.530767
0.012988;-263.032300;6.285923
0.013379;-284.629000;3.946538
0.013770;-301.944500;1.547799
0.014160;-314.718600;-0.874214
0.014551;-322.759000;-3.283073
0.014941;-325.944800;-5.642547
0.015332;-324.228100;-7.917146
0.015723;-317.634600;-10.072660
0.016113;-306.263700;-12.076670
0.016504;-290.286300;-13.899020
0.016895;-269.942700;-15.512320
0.017285;-245.538900;-16.892300
0.017676;-217.442000;-18.018200
0.018066;-186.074500;-18.873080
0.018457;-151.908300;-19.444090
0.018848;-115.457300;-19.722630
0.019238;-77.269700;-19.704530
0.019629;-37.919870;-19.390050
0.020020;2.000299;-18.783930
0.020410;41.890380;-17.895270
0.020801;81.150400;-16.737450
0.021191;119.189800;-15.327880
0.021582;155.436600;-13.687760
0.021973;189.345400;-11.841760
0.022363;220.406200;-9.817646
0.022754;248.152000;-7.645864
0.023145;272.165300;-5.359080
0.023535;292.085000;-2.991688
0.023926;307.611500;-0.579296
0.024316;318.511200;1.841811
0.024707;324.620200;4.235217
0.025098;325.846600;6.564924
0.025488;322.172000;8.795890
0.025879;313.651600;10.894560
0.026270;300.413600;12.829370
0.026660;282.657100;14.571210
0.027051;260.649100;16.093890
0.027441;234.720800;17.374500
0.027832;205.262100;18.393790
0.028223;172.716000;19.136420
0.028613;137.572100;19.591220
0.029004;100.359000;19.751350
0.029395;61.636380;19.614400
0.029785;21.986720;19.182440
0.030176;-17.993650;18.461960
0.030566;-57.703380;17.463790
0.030957;-96.545190;16.202950
0.031348;-133.934900;14.698400
0.031738;-169.310100;12.972780
0.032129;-202.138700;11.052040
0.032520;-231.926900;8.965060
0.032910;-258.226700;6.743243
0.033301;-280.642600;4.420001
0.033691;-298.837400;2.030279
0.034082;-312.537300;-0.389979
0.034473;-321.536400;-2.804371
0.034863;-325.699300;-5.176581
0.035254;-324.963400;-7.470932
0.035645;-319.339800;-9.652910
0.036035;-308.912900;-11.689700
0.036426;-293.839700;-13.550660
0.036816;-274.346900;-15.207820
0.037207;-250.727700;-16.636220
0.037598;-223.337300;-17.814410
0.037988;-192.587700;-18.724650
0.038379;-158.941300;-19.353250
0.038770;-122.904400;-19.690760
0.039160;-85.018880;-19.732110
0.039551;-45.854590;-19.476660
0.039941;-6.000594;-18.928260
0.040332;33.943650;-18.095170
